,CONTROL,,,,,,25?M/ml,,,,,,50?M/ml,,,,
,D0,D3,D6,D9,D12,,D0,D3,D6,D9,D12,,D0,D3,D6,D9,D12
,100,212,312,260,144,,100,84,144,80,80,,100,52,140,74,70
,100,280,272,360,224,,100,104,120,68,96,,100,96,84,82,43
,100,300,408,356,248,,100,144,212,92,184,,100,32,156,100,68
,100,256,304,368,240,,100,128,168,132,136,,100,92,92,79,96
,100,204,376,312,240,,100,128,160,152,200,,100,80,92,75,88
,100,240,416,348,192,,100,188,144,108,112,,100,72,112,82,91
,100,224,320,276,320,,100,104,168,84,192,,100,72,156,96,86
,100,232,288,352,224,,100,112,180,132,152,,100,76,140,88,95
,100,212,344,328,256,,100,104,152,120,152,,100,72,76,92,89
Well 1,10000,26400,33066.66667,32533.33333,20533.33333,,10000,11066.66667,15866.66667,8000,12000,,10000,6000,12666.66667,8533.333333,6033.333333
Well 2,10000,23333.33333,36533.33333,34266.66667,22400,,10000,14800,15733.33333,13066.66667,14933.33333,,10000,8133.333333,9866.666667,7866.666667,9166.666667
Well 3,10000,22266.66667,31733.33333,31866.66667,26666.66667,,10000,10666.66667,16666.66667,11200,16533.33333,,10000,7333.333333,12400,9200,9000
Means,10000,24000,33777.77778,32888.88889,23200,,10000,12177.77778,16088.88889,10755.55556,14488.88889,,10000,7155.555556,11644.44444,8533.333333,8066.666667
