Day,Tu_Endo_Anox_R1,Tu_Endo_Anox_R2,Tu_Endo_Anox_R3,Tu_Apo_Anox_R1,Tu_Apo_Anox_R2,Tu_Apo_Anox_R3,Tt_Anox_R1,Tt_Anox_R2,Tt_Anox_R3
D0,1000,1000,1000,1000,1000,1000,1000,1000,1000
D1,1696.296296,1800,1666.666667,3933.333333,3266.666667,4066.666667,1266.666667,1933.333333,2333.333333
D2,3518.518519,3437.037037,3585.185185,1333.333333,333.3333333,133.3333333,1266.666667,2066.666667,200
D3,5733.333333,5051.851852,4859.259259,0,0,0,0,0,0
D4,12400,11155.55556,11511.11111,0,0,0,0,0,0
D5,25192.59259,24718.51852,23325.92593,0,0,0,0,0,0
D6,20592.59259,21525.92593,22666.66667,0,0,0,0,0,0
D7,22200,24266.66667,22600,0,0,0,0,0,0
D8,18000,24000,34866.66667,0,0,0,0,0,0
D9,22800,22266.66667,19800,0,0,0,0,0,0
D10,28066.66667,22200,14000,0,0,0,0,0,0
D11,30000,22533.33333,22133.33333,0,0,0,0,0,0
D12,26133.33333,20533.33333,14333.33333,0,0,0,0,0,0
D13,15733.33333,21333.33333,13000,0,0,0,0,0,0
D14,18933.33333,17200,17400,0,0,0,0,0,0
